name,xcor,ycor,serviceScore,foodScore,ambienceScore,foodPrice
0,38,1,9,6,7,37
1,13,78,8,3,5,29
2,73,7,1,2,9,25
3,10,53,4,9,8,16
4,76,86,5,6,6,34
5,6,71,3,5,2,32
6,80,3,1,2,9,21
7,65,77,4,3,1,47
8,17,92,6,1,6,11
9,2,22,2,5,4,39
10,77,76,3,8,1,25
11,72,8,5,1,5,44
12,7,78,4,7,9,32
13,26,73,1,3,7,32
14,51,76,7,5,3,49
15,21,77,1,4,5,28
16,19,44,8,7,4,26
17,85,21,3,8,3,27
18,12,31,9,7,1,34
19,29,37,4,4,1,48
20,30,8,1,1,5,10
21,15,46,9,7,3,43
22,51,69,5,5,6,28
23,69,58,3,8,1,17
24,88,83,1,7,1,24
25,88,97,4,3,4,46
26,95,14,9,6,9,36
27,97,11,2,9,6,42
28,87,24,5,7,4,11
29,14,82,4,5,2,34
30,10,8,4,3,5,32
31,8,25,7,5,8,44
32,64,75,8,1,4,40
33,62,93,4,1,3,31
34,23,21,6,4,3,14
35,58,33,4,5,3,13
36,2,13,3,4,7,28
37,1,66,5,2,7,43
38,61,95,5,3,1,21
39,82,61,1,6,2,21
40,9,25,4,5,6,22
41,89,83,4,1,7,14
42,14,98,9,9,6,10
43,48,3,4,3,9,35
44,73,93,6,4,9,17
45,31,99,7,5,6,17
46,72,11,8,5,6,43
47,4,55,6,9,8,17
48,71,97,2,3,6,44
49,22,83,8,2,2,14
50,50,87,1,7,4,15
51,58,71,3,4,4,49
52,4,67,9,9,4,22
53,69,72,3,8,4,42
54,25,49,2,1,7,31
55,44,55,5,6,2,38
56,77,16,1,3,4,17
57,27,6,5,3,1,38
58,53,18,2,9,6,35
59,81,43,8,6,1,43
60,42,21,4,1,6,11
61,83,49,2,6,3,23
62,16,23,7,9,8,48
63,65,14,7,7,7,31
64,69,98,7,7,5,37
65,26,54,7,1,1,48
66,99,85,1,5,3,30
67,88,11,1,8,5,43
68,8,97,3,4,9,11
69,27,56,7,1,8,41
70,26,62,1,2,7,48
71,23,57,7,7,8,38
72,10,90,8,1,8,21
73,68,22,1,7,2,45
74,24,97,4,2,8,41
75,28,84,1,7,8,12
76,38,26,4,5,4,13
77,58,15,5,3,9,42
78,84,14,8,6,4,20
79,39,85,6,5,1,42
80,9,44,4,7,7,43
81,33,7,9,3,4,15
82,35,78,9,3,1,10
83,11,57,1,8,7,47
84,24,60,7,6,6,18
85,16,16,8,1,7,34
86,88,25,6,8,5,26
87,26,10,5,9,7,42
88,72,67,6,9,7,42
89,93,72,3,9,3,34
90,75,54,6,1,3,31
91,63,70,7,8,5,37
92,47,37,7,3,2,45
93,33,22,9,1,3,14
94,89,41,8,8,4,42
95,24,78,8,2,4,34
96,56,92,8,2,7,48
97,66,50,3,6,8,35
98,78,48,7,2,1,42
99,4,78,1,6,4,43
